GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US24510010100,24510010100,"Census Tract 101, Baltimore city, Maryland",3201,255
1400000US24510010200,24510010200,"Census Tract 102, Baltimore city, Maryland",3145,228
1400000US24510010300,24510010300,"Census Tract 103, Baltimore city, Maryland",2552,241
1400000US24510010400,24510010400,"Census Tract 104, Baltimore city, Maryland",2573,268
1400000US24510010500,24510010500,"Census Tract 105, Baltimore city, Maryland",1712,136
1400000US24510020100,24510020100,"Census Tract 201, Baltimore city, Maryland",1877,242
1400000US24510020200,24510020200,"Census Tract 202, Baltimore city, Maryland",1857,195
1400000US24510020300,24510020300,"Census Tract 203, Baltimore city, Maryland",3768,462
1400000US24510030100,24510030100,"Census Tract 301, Baltimore city, Maryland",3355,491
1400000US24510030200,24510030200,"Census Tract 302, Baltimore city, Maryland",2327,302
1400000US24510040100,24510040100,"Census Tract 401, Baltimore city, Maryland",4007,421
1400000US24510040200,24510040200,"Census Tract 402, Baltimore city, Maryland",865,256
1400000US24510060100,24510060100,"Census Tract 601, Baltimore city, Maryland",2948,332
1400000US24510060200,24510060200,"Census Tract 602, Baltimore city, Maryland",3075,443
1400000US24510060300,24510060300,"Census Tract 603, Baltimore city, Maryland",1931,185
1400000US24510060400,24510060400,"Census Tract 604, Baltimore city, Maryland",1433,201
1400000US24510070100,24510070100,"Census Tract 701, Baltimore city, Maryland",2889,483
1400000US24510070200,24510070200,"Census Tract 702, Baltimore city, Maryland",2817,474
1400000US24510070300,24510070300,"Census Tract 703, Baltimore city, Maryland",885,197
1400000US24510070400,24510070400,"Census Tract 704, Baltimore city, Maryland",1495,288
1400000US24510080101,24510080101,"Census Tract 801.01, Baltimore city, Maryland",3993,398
1400000US24510080102,24510080102,"Census Tract 801.02, Baltimore city, Maryland",2181,286
1400000US24510080200,24510080200,"Census Tract 802, Baltimore city, Maryland",1539,188
1400000US24510080301,24510080301,"Census Tract 803.01, Baltimore city, Maryland",1653,229
1400000US24510080302,24510080302,"Census Tract 803.02, Baltimore city, Maryland",3002,333
1400000US24510080400,24510080400,"Census Tract 804, Baltimore city, Maryland",1214,330
1400000US24510080500,24510080500,"Census Tract 805, Baltimore city, Maryland",1683,298
1400000US24510080600,24510080600,"Census Tract 806, Baltimore city, Maryland",2418,265
1400000US24510080700,24510080700,"Census Tract 807, Baltimore city, Maryland",697,191
1400000US24510080800,24510080800,"Census Tract 808, Baltimore city, Maryland",1452,239
1400000US24510090100,24510090100,"Census Tract 901, Baltimore city, Maryland",4057,504
1400000US24510090200,24510090200,"Census Tract 902, Baltimore city, Maryland",3027,336
1400000US24510090300,24510090300,"Census Tract 903, Baltimore city, Maryland",4558,522
1400000US24510090400,24510090400,"Census Tract 904, Baltimore city, Maryland",1756,181
1400000US24510090500,24510090500,"Census Tract 905, Baltimore city, Maryland",1957,263
1400000US24510090600,24510090600,"Census Tract 906, Baltimore city, Maryland",3260,691
1400000US24510090700,24510090700,"Census Tract 907, Baltimore city, Maryland",3090,518
1400000US24510090800,24510090800,"Census Tract 908, Baltimore city, Maryland",2797,460
1400000US24510090900,24510090900,"Census Tract 909, Baltimore city, Maryland",2500,430
1400000US24510100100,24510100100,"Census Tract 1001, Baltimore city, Maryland",2238,350
1400000US24510100200,24510100200,"Census Tract 1002, Baltimore city, Maryland",2837,444
1400000US24510100300,24510100300,"Census Tract 1003, Baltimore city, Maryland",4247,477
1400000US24510110100,24510110100,"Census Tract 1101, Baltimore city, Maryland",3040,292
1400000US24510110200,24510110200,"Census Tract 1102, Baltimore city, Maryland",5273,456
1400000US24510120100,24510120100,"Census Tract 1201, Baltimore city, Maryland",4602,436
